CpG	Gene	Mean(beta)	Mean(FPKM)	R	Pvalue
cg04781638	CPEB1	0.272911314984706	0.130129594488301	0.124816836729344	0.0658411554785355
cg27274426	CHMP3	0.669974006116211	14.4355611688122	-0.00472025710908521	0.944756025107648
cg02721176	CCDC172	0.386690519877679	0.000606129077034358	-0.110086116275368	0.105020231603046
cg24874612	VMO1	0.28229747706422	6.86816271689087	-0.289523907867807	1.40176552193224e-05
cg24041078	BTG4	0.18222148318043	0.0946759622032596	-0.0297208405381506	0.662549056701736
cg09937190	MACROD2	0.458139220183486	2.499407695001	-0.121347840289928	0.0737772982340171
cg12778476	SLC17A6	0.18053226299694	0.0180998953864255	-0.0599780262648302	0.378173102459987
cg26942121	ST5	0.181673470948014	5.54969877328835	-0.158566124949568	0.0191508721480168
cg14273450	DRC1	0.20083103975535	1.55816219702867	-0.0511950285380755	0.452031111502099
cg07139165	IGSF9B	0.752714678899083	0.807952059891152	0.377014375334821	9.0269533339422e-09
cg21211321	IGSF9B	0.713233103975532	0.807952059891152	0.376486433372857	9.50298479709056e-09
cg01645998	SDR42E1	0.237238837920486	1.00924982521181	-0.567879377779165	5.18763772266507e-20
cg02703870	SDR42E1	0.194395718654436	1.00924982521181	-0.599467280809738	1.16736188867717e-22
cg04886060	SDR42E1	0.294588532110092	1.00924982521181	-0.624815805542183	5.25602353551081e-25
cg10147797	SDR42E1	0.163722247706422	1.00924982521181	-0.586756128315481	1.47038404301045e-21
cg01250407	WNT2	0.155530122324157	3.00208098425003	-0.0414854735233523	0.542347770690126
cg17161421	PPT2	0.343502828746179	2.15557126124383	0.430974399886887	2.84379949532952e-11
cg21037008	PPT2	0.420628669724771	2.15557126124383	0.374042442545335	1.20409937026236e-08
cg07517893	PPP1R13L	0.360673700305812	9.09748427047913	0.350680374526335	1.05024907144729e-07
cg05031016	ADCY4	0.365542278287463	1.22622027440989	-0.279847513510993	2.76247455923428e-05
cg07485357	ADCY4	0.230660626911315	1.22622027440989	-0.239684401467971	0.000355970557474093
cg12265829	ADCY4	0.348930733944954	1.22622027440989	-0.232211566223053	0.000547815989996252
cg13631572	ADCY4	0.282640366972478	1.22622027440989	-0.231597779021451	0.000567218918854391
cg14287235	ADCY4	0.379984327217124	1.22622027440989	-0.237228836012744	0.000410757894148716
cg16215203	ADCY4	0.302884862385321	1.22622027440989	-0.227230081090508	0.000724733261203685
cg16761581	ADCY4	0.275798012232416	1.22622027440989	-0.209814582484571	0.00184063761539054
cg19646112	ADCY4	0.344251758409784	1.22622027440989	-0.245467890549231	0.000252605978454744
cg23179456	ADCY4	0.33270252293578	1.22622027440989	-0.197356029283334	0.00343342586294227
cg25556905	ADCY4	0.301722324159021	1.22622027440989	-0.192534975203877	0.00432888858295212
